AAL,AAL600,JHU,N=850,N=1000,N=5000
0.452418212,0.536456706,,0.472006266,0.534998909,0.524052965
0.48039522,0.517998728,,0.450308981,0.505665159,0.504662436
0.4497949,0.4293584,,0.54543506,0.502516294,0.537587462
0.397834438,0.487378191,,0.503568738,0.525792145,0.541728189
0.382625533,0.437150446,,0.576131196,0.511154376,0.480908954
0.525916697,0.496458007,,0.523628425,0.448764565,0.564792697
0.517009329,0.499258908,,0.444261733,0.513803118,0.355166327
0.43222756,0.529982258,,0.492921695,0.561916159,0.37841638
0.440271698,0.452631673,,0.493030168,0.483058401,0.512560892
0.465657827,0.509037774,,0.539718613,0.519888794,0.536934779
0.486896691,0.508857028,,0.549898293,0.474752134,0.525486127
0.528312755,0.517803906,,0.502698053,0.533288553,0.444867572
0.552199461,0.548645577,,0.529619744,0.521570998,0.531891949
0.647766027,0.507297415,,0.617012337,0.48784164,0.587305071
0.633540169,0.523724807,,0.541828621,0.556381525,0.467702682
0.428107687,0.411626837,,0.560681133,0.561455406,0.432475569
0.422496002,0.49631697,,0.563254806,0.605855237,0.508444062
0.419473807,0.427913253,,0.567259887,0.416222897,0.562750233
0.453991193,0.49124806,,0.571152239,0.511124523,0.440304097
0.422128872,0.54626791,,0.511786258,0.465345874,0.498129113
0.41252493,0.471824638,,0.470887327,0.455170228,0.491581696
0.434937303,0.508819033,,0.577523147,0.566934426,0.513349892
0.419372607,0.475335424,,0.53332387,0.378402495,0.582227693
0.424378067,0.514014273,,0.429297982,0.533426075,0.498100714
0.447607978,0.503558026,,0.541546655,0.563957662,0.382064655
0.402308625,0.554650523,,0.534204519,0.487395763,0.521725885
0.423515166,0.388866077,,0.49472953,0.544747238,0.499762732
0.434084012,0.433439304,,0.497058745,0.508431387,0.508476019
0.43400518,0.499586175,,0.46253729,0.533388361,0.478556446
0.428129716,0.491355973,,0.570527529,0.540527238,0.539953845
0.412105915,0.500176978,,0.457191149,0.523330287,0.453835773
0.445114477,0.463698377,,0.505184916,0.473401171,0.566967071
0.435231705,0.575709223,,0.444308706,0.515599448,0.391359147
0.430556585,0.499754333,,0.454619007,0.535571547,0.536807474
0.427872203,0.495883995,,0.527653408,0.528663629,0.518824702
0.449311981,0.469821812,,0.535334445,0.483813624,0.49497216
0.439995723,0.452012552,,0.559499202,0.347523074,0.493579304
0.279770926,0.50067552,,0.569172758,0.541923929,0.586996831
0.301733198,0.519461162,,0.495605329,0.555755983,0.55915102
0.487308882,0.43757421,,0.533829931,0.503519606,0.499257658
0.51990619,0.546270537,,0.531665395,0.545818606,0.528013739
0.604126327,0.588803038,,0.487479967,0.530127021,0.498383527
0.571053725,0.510231631,,0.526007923,0.548008935,0.446996835
