RID-SubID,Node,Permutation,charPath,Clust,Degree,Small Worldness,Norm Char Path,Norm Clust
309,1500,5,2.171962642,0.550090363,188.472,2.813782723,1.555922274,4.378027215
309,2000,1,2.283906953,0.537846179,196.588,3.448201242,1.586859495,5.47181088
309,2000,2,2.286657329,0.537315901,191.228,3.55570986,1.580454109,5.619636256
309,2000,3,2.275802901,0.53882003,195.827,3.482775764,1.58006751,5.503020829
309,2000,4,2.288006503,0.535292801,200.116,3.353991793,1.595062075,5.349825109
309,2000,5,2.282091546,0.546823266,192.519,3.59694377,1.579318543,5.680719993
309,2500,1,2.371814646,0.527606321,205.3,3.980477051,1.614083228,6.424821246
309,2500,2,2.368616567,0.52988607,206.9624,3.964914294,1.614348354,6.400752864
309,2500,3,2.33052389,0.531412635,208.3928,4.008413723,1.5904376,6.375131901
309,2500,4,2.34732389,0.534008858,208.5584,3.995398338,1.602140868,6.40119096
309,2500,5,2.350129172,0.530218081,207.8912,3.977403814,1.603093119,6.376148687
309,3000,1,2.426323663,0.524395202,216.0726667,4.46929256,1.629076009,7.280817286
309,3000,2,2.391585195,0.52753895,213.784,4.619375514,1.602571145,7.402877906
309,3000,3,2.424996332,0.522013724,219.3386667,4.372944265,1.63272873,7.139831736
309,3000,4,2.422587085,0.52575936,215.7853333,4.494918819,1.626164563,7.309477697
309,3000,5,2.431695232,0.526012453,213.366,4.540565241,1.628853947,7.395917615
309,4000,1,2.518872468,0.519244936,231.046,5.438592231,1.652902776,8.989464196
309,4000,2,2.50767917,0.518249315,227.4675,5.554099043,1.640838183,9.113377781
309,4000,3,2.508015754,0.525070628,225.9115,5.672375541,1.638982819,9.296926053
309,4000,4,2.53343986,0.518420054,228.93,5.457856679,1.659651675,9.05814098
309,4000,5,2.536420855,0.515235742,233.1175,5.302943504,1.667147773,8.840790455
309,5000,1,2.615647209,0.513825702,239.3416,6.380746895,1.682271628,10.73414946
309,5000,2,2.59720072,0.516024328,239.3332,6.453830402,1.670396938,10.78045854
309,5000,3,2.700339908,0.510671905,236.4096,6.232894704,1.732834441,10.80057461
309,5000,4,2.685755711,0.519622196,234.818,6.427739473,1.721345496,11.06436039
309,5000,5,2.696342549,0.515896588,234.8316,6.356161318,1.728149111,10.98439453
31,10,1,1,1,9,1.164390708,0.954242509,1.111111111
31,10,2,1.044444444,0.961111111,8.6,1.145015107,0.976031716,1.117571059
31,10,3,1.022222222,0.977777778,8.8,1.150848558,0.965471176,1.111111111
31,10,4,1.022222222,0.977777778,8.8,1.150848558,0.965471176,1.111111111
31,10,5,1,1,9,1.164390708,0.954242509,1.111111111
31,100,1,1.435757576,0.767894507,56.36,1.083928178,1.256984928,1.362481382
31,100,2,1.508484848,0.743335718,49.78,1.166603467,1.279990796,1.4932417
31,100,3,1.463434343,0.749766843,53.44,1.109701984,1.264309552,1.403006818
31,100,4,1.472727273,0.746365979,52.84,1.113321995,1.268727159,1.412501852
31,100,5,1.456767677,0.742562598,54.02,1.08925927,1.261964755,1.374606808
31,150,1,1.544340045,0.726087201,69.65333333,1.195530505,1.307908835,1.56364491
31,150,2,1.574944072,0.695270372,67,1.177778397,1.321619979,1.55657546
31,150,3,1.571454139,0.700587306,66.18666667,1.207544646,1.314860919,1.587753263
31,150,4,1.555346756,0.708702246,69.36,1.164706072,1.315920475,1.532660566
31,150,5,1.623982103,0.713979178,61.16,1.313439523,1.333212106,1.751093472
31,500,1,1.967190381,0.604571391,101.024,2.048118058,1.460959072,2.992216658
31,500,2,1.991799599,0.603482857,99.2,2.064447456,1.47339583,3.041748272
31,500,3,1.962260521,0.607988148,100.668,2.073756013,1.456183209,3.019768685
31,500,4,1.993859719,0.614960799,95.648,2.197007735,1.463221108,3.214708093
31,500,5,2.003863727,0.606589325,98.672,2.076028543,1.48059922,3.073766242
31,600,1,2.016087924,0.595358509,107.9666667,2.24226677,1.4755463,3.308568435
31,600,2,2.056193656,0.601391075,105.6,2.281380862,1.497774792,3.416994746
31,600,3,2.02623261,0.599173251,107.8466667,2.248368215,1.482618802,3.333472989
31,600,4,2.045848637,0.593848146,105.5833333,2.264592146,1.490188781,3.374669811
31,600,5,2.009955481,0.602084245,106.5,2.312595661,1.466760478,3.392023918
31,850,1,2.195931546,0.576716295,113.4258824,2.805954825,1.540239678,4.321842957
31,850,2,2.179494215,0.586240292,118.52,2.724981694,1.542905608,4.204389537
31,850,3,2.210669992,0.581235218,115.0447059,2.761289154,1.555221752,4.294416956
31,850,4,2.107808494,0.576487183,117.1717647,2.809393765,1.488582802,4.182015241
31,850,5,2.183715097,0.571807769,112.8282353,2.815599742,1.529960665,4.307756852
31,1000,1,2.223229229,0.575116907,123.296,3.010237221,1.549552968,4.664522022
