AAL,AAL600,JHU,N=850,N=1000,N=5000
,,,2551,2338,286
,,,4504,1612,264
,,,1520,1789,228
,,,3083,1873,289
,,,3051,417,290
,,,1184,1875,185
,,,2332,1417,407
,,,5487,2293,377
,,,1443,1721,520
,,,2246,1731,665
,,,1686,2545,519
,,,1806,778,289
,,,3330,1371,471
,,,3477,1857,527
,,,2161,1480,301
,,,1719,2986,212
,,,1300,1272,323
,,,1174,3104,264
,,,3734,1126,391
,,,799,1826,218
,,,2194,1711,159
,,,1912,942,250
,,,3410,1823,515
,,,1309,1215,213
,,,1504,1995,353
,,,1988,917,537
,,,1768,3090,564
,,,2475,2556,250
,,,2421,1013,320
,,,1207,3335,224
,,,1593,1849,334
,,,1341,1314,256
,,,2505,1537,401
,,,2858,1517,562
,,,1559,2969,261
,,,1206,878,253
,,,2352,1070,235
,,,1824,2263,315
,,,2347,1039,270
,,,673,928,268
,,,1644,2058,287
,,,2202,2298,737
,,,1495,1600,404
,,,1070,2811,296
,,,1123,2050,389
,,,1892,1971,312
,,,2826,743,396
,,,1275,1026,257
,,,2066,1001,268
,,,1180,488,200
,,,2676,2737,244
,,,3058,1909,476
,,,3171,1570,308
,,,3007,1055,510
,,,3137,1775,659
,,,1745,1730,297
,,,2342,1956,279
,,,1533,1162,542
,,,2375,1441,317
,,,2690,1492,369
,,,658,2982,150
,,,3224,2163,549
,,,3221,2103,472
,,,1257,1950,448
,,,1610,1051,377
,,,1142,3167,134
,,,1449,2050,491
,,,1745,2738,251
,,,2527,875,570
,,,2181,2195,375
,,,1387,1137,306
,,,1780,681,221
,,,2570,389,670
,,,2177,3255,492
,,,4351,2266,281
,,,2401,3384,329
,,,1607,1369,347
,,,2828,1419,347
,,,2323,2437,413
,,,2035,1461,409
,,,2000,2670,287
,,,1272,1592,428
,,,1352,1553,326
,,,2979,1407,375
,,,1680,2035,362
,,,1619,1477,298
,,,1251,3262,302
,,,1623,1651,391
,,,2464,1583,387
,,,3439,3577,405
,,,3165,2002,174
,,,1419,2258,518
,,,1310,2068,182
,,,2296,948,406
,,,1375,2295,330
,,,2377,1808,510
,,,2751,4186,325
,,,1504,1893,449
,,,1658,834,510
,,,1209,1436,127
,,,2717,2158,724
,,,3310,1545,212
